Position,Constructor,Points,Season,Era,Engine,IsChampion,NormalizedPoints
1,Vanwall,48.0,1958,1958-1970,Vanwall,1,100.0
2,Ferrari,40.0,1958,1958-1970,Ferrari,0,83.33333333333334
3,Cooper Climax,31.0,1958,1958-1970,Climax,0,64.58333333333334
4,BRM,18.0,1958,1958-1970,BRM,0,37.5
5,Maserati,6.0,1958,1958-1970,Maserati,0,12.5
6,Lotus Climax,3.0,1958,1958-1970,Climax,0,6.25
1,Cooper Climax,40.0,1959,1958-1970,Climax,1,100.0
2,Ferrari,32.0,1959,1958-1970,Ferrari,0,80.0
3,BRM,18.0,1959,1958-1970,BRM,0,45.0
4,Lotus Climax,5.0,1959,1958-1970,Climax,0,12.5
1,Cooper Climax,48.0,1960,1958-1970,Climax,1,100.0
2,Lotus Climax,34.0,1960,1958-1970,Climax,0,70.83333333333334
3,Ferrari,26.0,1960,1958-1970,Ferrari,0,54.166666666666664
4,BRM,8.0,1960,1958-1970,BRM,0,16.666666666666664
5,Cooper Maserati,3.0,1960,1958-1970,Maserati,0,6.25
6,Cooper Castellotti,3.0,1960,1958-1970,Castellotti,0,6.25
1,Ferrari,40.0,1961,1958-1970,Ferrari,1,100.0
2,Lotus Climax,32.0,1961,1958-1970,Climax,0,80.0
3,Porsche,22.0,1961,1958-1970,Porsche,0,55.00000000000001
4,Cooper Climax,14.0,1961,1958-1970,Climax,0,35.0
5,BRM Climax,7.0,1961,1958-1970,Climax,0,17.5
1,BRM,42.0,1962,1958-1970,BRM,1,100.0
2,Lotus Climax,36.0,1962,1958-1970,Climax,0,85.71428571428571
3,Cooper Climax,29.0,1962,1958-1970,Climax,0,69.04761904761905
4,Lola Climax,19.0,1962,1958-1970,Climax,0,45.23809523809524
5,Porsche,18.0,1962,1958-1970,Porsche,0,42.857142857142854
6,Ferrari,18.0,1962,1958-1970,Ferrari,0,42.857142857142854
7,Brabham Climax,6.0,1962,1958-1970,Climax,0,14.285714285714285
8,Lotus BRM,1.0,1962,1958-1970,BRM,0,2.380952380952381
1,Lotus Climax,54.0,1963,1958-1970,Climax,1,100.0
2,BRM,36.0,1963,1958-1970,BRM,0,66.66666666666666
3,Brabham Climax,28.0,1963,1958-1970,Climax,0,51.85185185185185
4,Ferrari,26.0,1963,1958-1970,Ferrari,0,48.148148148148145
5,Cooper Climax,25.0,1963,1958-1970,Climax,0,46.2962962962963
6,BRP BRM,6.0,1963,1958-1970,BRM,0,11.11111111111111
7,Porsche,5.0,1963,1958-1970,Porsche,0,9.25925925925926
8,Lotus BRM,4.0,1963,1958-1970,BRM,0,7.4074074074074066
1,Ferrari,45.0,1964,1958-1970,Ferrari,1,100.0
2,BRM,42.0,1964,1958-1970,BRM,0,93.33333333333333
3,Lotus Climax,37.0,1964,1958-1970,Climax,0,82.22222222222221
4,Brabham Climax,30.0,1964,1958-1970,Climax,0,66.66666666666666
5,Cooper Climax,16.0,1964,1958-1970,Climax,0,35.55555555555556
6,Brabham BRM,7.0,1964,1958-1970,BRM,0,15.555555555555555
7,BRP BRM,5.0,1964,1958-1970,BRM,0,11.11111111111111
8,Lotus BRM,3.0,1964,1958-1970,BRM,0,6.666666666666667
1,Lotus Climax,54.0,1965,1958-1970,Climax,1,100.0
2,BRM,45.0,1965,1958-1970,BRM,0,83.33333333333334
3,Brabham Climax,27.0,1965,1958-1970,Climax,0,50.0
4,Ferrari,26.0,1965,1958-1970,Ferrari,0,48.148148148148145
5,Cooper Climax,14.0,1965,1958-1970,Climax,0,25.925925925925924
6,Honda,11.0,1965,1958-1970,Honda,0,20.37037037037037
7,Brabham BRM,5.0,1965,1958-1970,BRM,0,9.25925925925926
8,Lotus BRM,2.0,1965,1958-1970,BRM,0,3.7037037037037033
1,Brabham Repco,42.0,1966,1958-1970,Repco,1,100.0
2,Ferrari,31.0,1966,1958-1970,Ferrari,0,73.80952380952381
3,Cooper Maserati,30.0,1966,1958-1970,Maserati,0,71.42857142857143
4,BRM,22.0,1966,1958-1970,BRM,0,52.38095238095239
5,Lotus BRM,13.0,1966,1958-1970,BRM,0,30.952380952380953
6,Lotus Climax,8.0,1966,1958-1970,Climax,0,19.047619047619047
7,Eagle Climax,4.0,1966,1958-1970,Climax,0,9.523809523809524
8,Honda,3.0,1966,1958-1970,Honda,0,7.142857142857142
9,McLaren Ford,2.0,1966,1958-1970,Ford,0,4.761904761904762
10,Brabham BRM,1.0,1966,1958-1970,BRM,0,2.380952380952381
11,McLaren Serenissima,1.0,1966,1958-1970,Serenissima,0,2.380952380952381
12,Brabham Climax,1.0,1966,1958-1970,Climax,0,2.380952380952381
1,Brabham Repco,63.0,1967,1958-1970,Repco,1,100.0
2,Lotus Ford,44.0,1967,1958-1970,Ford,0,69.84126984126983
3,Cooper Maserati,28.0,1967,1958-1970,Maserati,0,44.44444444444444
4,Honda,20.0,1967,1958-1970,Honda,0,31.746031746031743
5,Ferrari,20.0,1967,1958-1970,Ferrari,0,31.746031746031743
6,BRM,17.0,1967,1958-1970,BRM,0,26.984126984126984
7,Eagle Weslake,13.0,1967,1958-1970,Weslake,0,20.634920634920633
8,Cooper Climax,6.0,1967,1958-1970,Climax,0,9.523809523809524
9,Lotus BRM,6.0,1967,1958-1970,BRM,0,9.523809523809524
10,McLaren BRM,3.0,1967,1958-1970,BRM,0,4.761904761904762
11,Brabham Climax,2.0,1967,1958-1970,Climax,0,3.1746031746031744
1,Lotus Ford,62.0,1968,1958-1970,Ford,1,100.0
2,McLaren Ford,49.0,1968,1958-1970,Ford,0,79.03225806451613
3,Matra Ford,45.0,1968,1958-1970,Ford,0,72.58064516129032
4,Ferrari,32.0,1968,1958-1970,Ferrari,0,51.61290322580645
5,BRM,28.0,1968,1958-1970,BRM,0,45.16129032258064
6,Honda,14.0,1968,1958-1970,Honda,0,22.58064516129032
